Category,Count
FAMILY,1606
GAME,910
TOOLS,718
PRODUCTIVITY,301
PERSONALIZATION,298
LIFESTYLE,297
FINANCE,296
MEDICAL,291
PHOTOGRAPHY,263
BUSINESS,262
SPORTS,260
COMMUNICATION,257
HEALTH_AND_FITNESS,243
NEWS_AND_MAGAZINES,204
SOCIAL,203
TRAVEL_AND_LOCAL,187
SHOPPING,180
BOOKS_AND_REFERENCE,169
VIDEO_PLAYERS,148
DATING,134
EDUCATION,118
MAPS_AND_NAVIGATION,118
ENTERTAINMENT,102
FOOD_AND_DRINK,94
AUTO_AND_VEHICLES,73
WEATHER,72
LIBRARIES_AND_DEMO,64
HOUSE_AND_HOME,62
ART_AND_DESIGN,61
COMICS,54
PARENTING,50
EVENTS,45
BEAUTY,42
